ID_REF	Mann1_4hr	Mann1_12hr	Mann1_24hr	Mann2_4hr	Mann2_12hr	Mann2_24hr	Mann3_4hr	Mann3_12hr	Mann3_24hr	MGd1_4hr	MGd1_12hr	MGd1_24hr	MGd2_4hr	MGd2_12hr	MGd2_24hr	MGd3_4hr	MGd3_12hr	MGd3_24hr
200593_s_at	1432.1	1083.6	1304.4	1242.3	1144.2	1686.2	1029.4	1183.9	1224.0	1023.6	1089.8	1104.4	1065.8	1119.4	1158.2	731.7	1184.9	1294.5
200594_x_at	2580.7	2739.7	3131.3	2320.8	2692.7	2674.5	2315.0	2336.4	2691.6	2521.6	2374.1	2577.6	2657.6	2124.7	2689.7	2235.1	2453.2	2552.0
200595_s_at	933.2	1133.9	1093.9	474.1	971.2	921.7	1143.9	1057.8	1202.0	1491.2	1428.8	1730.6	615.4	482.4	1149.6	823.8	735.3	1011.7
200596_s_at	722.7	561.7	745.7	1107.0	1257.5	1106.3	765.5	823.2	675.9	502.6	672.5	576.1	650.6	898.4	716.0	618.5	744.9	716.3
200597_at	221.6	205.7	250.2	216.4	166.1	169.6	293.9	272.8	328.2	250.7	190.3	173.7	242.8	154.4	181.9	231.3	217.9	192.6
200598_s_at	2068.1	1835.0	2041.1	1941.5	2048.7	1687.2	1449.5	1369.8	1560.3	2327.2	1936.8	1832.0	1934.6	1406.2	1895.3	1239.5	1215.2	1258.7
200599_s_at	5164.7	5756.9	5331.2	2561.0	5736.8	4841.9	4590.3	3717.0	4210.7	3757.5	4970.4	4374.8	5290.9	4554.0	3188.5	4451.5	3666.6	3693.2
200600_at	1209.4	843.8	1103.1	640.5	1051.2	720.3	859.9	721.0	1080.6	1123.6	926.4	1156.4	946.1	991.6	1079.1	1108.0	993.6	733.7
200601_at	1483.8	1537.3	1787.5	1400.2	2097.8	1603.5	2040.0	1647.4	1635.0	2124.9	1771.5	1604.8	1411.3	1658.0	1465.8	1428.1	2170.0	1308.6
200602_at	910.0	490.0	751.7	358.8	504.1	360.4	433.0	497.6	538.0	855.5	502.4	920.3	566.9	339.7	858.1	468.9	233.0	343.9
