GeneID	285_D2	285_D5	285_D14	BM45_D2	BM45_D5	BM45_D14	DV10_D2	DV10_D5	DV10_D14	EC1118_D2	EC1118_D5	EC1118_D14	VIN13_D2	VIN13_D5	VIN13_D14	
YLR276C	1082.162333	724.099333	131.813500	827.986333	781.331333	147.470000	993.125333	690.774667	186.111333	1232.426667	671.762333	241.857333	1460.143333	705.251667	159.780667	
YLR277C	330.533333	538.424333	413.456000	325.874667	655.549333	489.197000	319.301333	383.806333	276.610333	280.267667	425.872667	258.292333	338.489333	474.184667	183.815667	
YLR278C	346.678000	552.664333	478.331500	384.059333	741.398333	250.353000	344.211000	866.574000	492.340333	402.989333	748.015333	555.228333	407.821667	779.986333	434.781000	
YLR281C	92.865167	38.565767	30.584850	108.714067	47.750067	38.229350	95.690100	95.766533	31.931767	108.277267	54.735500	29.716633	144.187333	53.314467	19.018833	
YLR283W	763.174000	634.068333	228.358500	763.717333	658.101667	182.052500	821.569667	878.417000	353.040667	704.818667	642.012667	422.547667	591.285333	645.757667	264.018333	
YLR284C	254.639000	512.604667	309.407500	267.111333	511.836000	190.748500	357.251333	554.980667	324.042333	278.769667	345.715000	311.409333	200.523333	482.069000	308.434667	
YLR285C-A	187.440333	172.948000	41.978250	67.836833	69.726100	43.761150	225.640000	101.145533	73.383333	145.331333	138.644000	133.724200	309.743667	153.913333	87.359733	
YLR285W	1044.603000	680.269333	219.537000	814.635333	723.852000	107.313600	1057.913667	866.564667	283.936000	1093.923333	597.460333	315.420000	1072.371000	746.797000	226.854333	
YLR286C	783.340000	638.712333	564.463000	810.300000	556.538667	245.972500	762.657667	577.254333	572.170000	588.137000	924.152333	316.352667	565.781000	1110.615667	778.592333	
YLR287C	137.567800	125.333000	21.832500	145.234000	148.232667	16.051700	136.429000	128.600700	42.216600	189.998000	103.516500	44.525333	210.646667	142.709967	30.560333	
YLR287C-A	7586.163333	3686.740000	5141.020000	5603.993333	4667.596667	5593.185000	9176.436667	6985.043333	6623.643333	7134.480000	5120.780000	7221.823333	7432.196667	5017.176667	4861.926667	
YLR288C	198.136667	393.062667	137.488000	163.060333	363.118333	90.796450	211.325333	403.706000	139.777667	154.169333	340.555333	184.875333	229.908000	360.324333	228.356333	
YLR289W	261.262667	512.056000	372.351000	244.371000	458.465333	259.709000	332.126333	579.136000	465.035333	302.792333	451.281333	521.823667	371.971333	473.489000	470.732333	
YLR290C	645.183667	831.889667	581.502500	593.349000	1090.252000	297.370500	1038.538333	1204.443667	688.172667	762.974000	916.474333	739.843667	629.676000	1044.830000	687.431333	
YLR291C	791.189667	646.931000	365.978500	746.932333	690.297667	360.234500	718.878000	827.079000	425.966000	767.073333	641.050667	469.228000	960.489667	680.999000	323.051667	
YLR292C	1678.866667	1267.750000	1261.845000	1485.133333	1395.270000	2248.180000	1997.976667	1673.276667	1079.433333	1530.750000	972.232667	1375.976667	1575.433333	1282.870000	1169.060000	
YLR293C	5618.833333	1762.273333	2703.495000	4591.366667	1671.606667	2056.395000	4631.636667	2572.930000	2814.843333	5124.606667	1839.386667	2176.910000	5601.860000	1844.853333	2805.770000	
YLR295C	1914.150000	1863.226667	1020.136000	1544.936667	2379.740000	1525.410000	2182.650000	3231.753333	1848.300000	1865.603333	2052.906667	2283.606667	2089.816667	1865.490000	1437.736667	
YLR297W	1204.923333	3408.256667	6649.695000	1320.130000	3990.113333	10810.520000	1013.232000	4855.746667	7353.370000	936.374667	3836.963333	10017.816667	916.371667	3761.263333	7198.703333	
YLR298C	413.566333	516.053000	313.029500	393.122000	757.155333	260.199000	592.481333	799.228333	642.376667	461.667667	624.901333	665.300000	406.663667	638.760667	385.801333	
YLR299W	774.346333	570.797000	804.424500	962.934667	678.335333	712.346000	763.355667	1049.014000	1072.460000	890.501333	677.547667	789.123333	656.259000	647.258333	841.024667	
YLR300W	7647.243333	5025.280000	2655.955000	7874.650000	5360.086667	2064.220000	7148.930000	6833.210000	2194.256667	6607.256667	4537.980000	2311.160000	5926.786667	4243.980000	2078.203333	
YLR301W	4486.453333	1587.390000	845.010500	3515.883333	1555.790000	1391.280000	3699.056667	1801.700000	917.402000	2802.223333	1255.780000	1090.104000	4072.373333	1085.773333	813.314000	
YLR303W	8986.673333	8492.296667	7602.110000	8546.923333	7725.953333	11323.800000	10036.680000	10992.826667	6907.180000	9185.183333	7122.420000	7322.593333	8902.413333	7312.573333	6078.273333	
YLR304C	2739.793333	3691.253333	4638.275000	1957.030000	4921.953333	5245.250000	3121.253333	6104.636667	4386.506667	3546.870000	3696.900000	3729.740000	3334.730000	4484.283333	5200.023333	
YLR305C	560.402667	500.090333	557.397000	736.656000	571.725000	413.584000	532.186333	809.412333	510.402000	642.332333	592.692000	553.219667	696.459000	521.105667	613.643333	
YLR306W	326.711333	178.175000	110.392250	263.022000	220.614333	98.707100	318.941667	248.951333	103.946833	251.768333	182.914000	199.451333	320.324667	218.715333	119.514000	
YLR307C-A	8.490350	9.186710	45.878300	19.744800	18.312500	101.281250	15.425970	39.750567	119.219433	14.473977	28.770733	173.925333	18.477967	21.795167	80.485833	
YLR307W	4.826257	4.304695	14.997500	10.979667	6.260473	32.917350	8.432310	17.141833	13.156633	5.871547	5.744484	33.591100	10.508570	5.415704	19.206567	
YLR308W	5.156710	7.346977	9.750455	13.563573	12.980333	41.421300	11.135443	14.372413	8.435843	9.764690	6.858230	37.091733	11.662563	8.880240	19.081540	
YLR309C	721.090333	783.528333	672.965000	789.989000	935.104333	722.937500	1126.788000	1113.536000	563.562000	1136.396667	728.646667	833.603333	1012.953333	847.879333	779.929333	
YLR310C	458.289667	722.347333	856.105500	664.521000	698.391667	771.866500	475.965000	996.561000	680.700667	629.706667	756.345667	766.675333	530.587000	726.251667	751.455333	
YLR312C	131.092067	1514.043333	2442.740000	170.011667	2038.773333	2408.650000	259.703667	2178.153333	2808.090000	235.392333	1742.016667	1881.923333	94.464400	1683.363333	1593.940000	
YLR312C-B	488.778667	318.942333	107.636850	500.964667	348.274000	109.491200	482.290000	478.085667	167.534133	589.512333	337.265333	298.871667	641.885000	267.873000	163.641000	
