IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
FAU	8892.1	8993.9	10712.7	7511.2	8961.1	8062.1	8303.3	12247.9	6898.8	8767.3	8329.2	9184.5	10713.6	9961.3	11576.2	9036.7	9175.5	9037.4
TARDBP	669.8	791.0	960.6	672.9	768.2	712.5	595.8	687.2	897.4	549.9	681.9	787.3	567.6	922.5	855.7	625.5	583.4	845.5
CFL1	12501.9	7888.4	10175.2	8974.5	13081.8	13442.2	9047.7	6259.0	14125.9	12798.6	12243.0	12171.9	12592.0	11379.4	11195.8	11247.2	10934.9	14458.3
RPL18	11183.6	14827.9	14179.9	11885.5	13656.0	12630.9	12254.4	12224.2	11050.7	9536.3	14244.5	14210.7	12050.9	12323.7	14007.8	10495.6	11551.8	13195.0
EIF3F	2868.1	3270.8	3364.6	2710.6	3230.4	3005.7	3365.1	3482.8	3234.5	2885.2	3566.4	3255.8	3088.1	3435.2	3166.9	3253.0	3015.0	3341.5
RPS5	12808.4	13974.1	14013.9	12806.8	11322.2	12830.6	14253.7	13575.2	11528.1	13047.5	11905.2	12469.8	14948.1	12523.8	15288.1	13090.4	15538.7	13969.1
RPL27	15706.8	15784.0	15072.0	14727.5	17563.2	16500.8	14617.3	12458.0	16535.9	13216.2	18938.7	16818.4	15554.2	14751.9	15137.8	16019.0	15455.7	20001.1
RPL34	7013.7	8603.8	8327.4	6268.0	11643.8	9426.2	9177.1	6090.9	4903.3	4550.9	11469.1	8249.6	7442.5	8474.0	6987.2	5588.6	8917.8	8219.4
NARS	2295.8	1470.1	1724.9	2171.5	2175.0	1905.0	2548.9	1789.7	2086.7	2455.8	1960.5	2005.5	2533.5	1849.7	1813.4	2545.2	2264.9	2100.1
STARD7	1697.2	1114.2	1406.4	963.5	1321.2	1161.6	1144.8	1224.6	1200.7	880.0	1202.3	1348.9	1543.6	1369.8	1559.4	1395.4	1053.0	1576.6
RPL19	13496.6	14182.4	12655.9	11561.4	12689.9	13323.3	13005.5	13128.9	11242.2	11232.3	13419.0	12451.9	11905.7	14893.7	12868.5	13215.1	12831.9	14520.2
SLC25A3	8005.2	7768.9	7717.8	7186.9	7854.6	6949.8	8168.8	6714.0	7483.1	6662.2	7537.5	7166.1	7832.6	7626.0	7526.6	7390.9	6609.0	7961.5
SNORD35B	20523.7	22415.6	21152.3	17238.8	19023.7	23332.5	18924.2	19549.1	18750.2	18411.9	21207.0	18363.2	20801.9	20415.7	19889.1	19665.7	19317.9	21729.3
RPL9	13962.8	9747.0	10009.5	14417.6	12460.8	11206.2	13396.1	10952.1	12506.4	13132.1	13051.3	11241.6	13735.5	11040.1	9828.0	12535.7	13231.1	12668.1
MIR5047	3561.5	2412.3	2893.3	3663.2	3250.8	2649.1	3582.8	2122.4	3017.9	3522.3	3101.5	2499.6	3375.5	2213.3	2069.3	3408.7	2956.4	2905.1
RPL6	8265.2	7983.7	10018.0	8404.0	7236.0	8924.8	7689.0	5990.4	8362.6	8552.3	8906.3	7981.3	8813.1	9143.0	8603.8	7732.6	8533.0	10261.6
