IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
CDH6	191.2	274.1	50.0	56.0	50.0	50.0	135.6	50.0	56.2	49.0	50.0	81.9	50.0	50.0	52.2	50.0	78.8	196.0
CDH6	72.9	100.0	50.0	50.0	50.0	74.7	50.0	50.0	61.3	49.0	50.0	50.0	50.0	61.0	50.0	50.0	60.5	105.2
NAA11	65.3	142.4	94.4	50.0	50.0	176.5	65.5	50.0	85.7	49.0	78.4	50.0	50.0	50.0	53.9	102.3	162.4	138.9
GNAT2	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
MFGE8	183.6	50.0	242.8	296.1	185.3	50.0	176.5	189.2	125.9	83.3	320.6	107.5	235.2	275.6	316.8	270.6	157.9	249.3
KLRD1	49.0	135.2	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
FLT3LG	151.4	50.0	50.0	90.0	50.0	50.0	50.0	125.9	50.0	49.0	131.4	50.0	50.0	50.0	50.0	50.0	50.0	50.0
FUT2	76.3	50.0	67.9	54.3	118.4	50.0	83.1	136.1	78.1	53.1	100.1	123.4	130.3	75.2	63.0	81.9	50.0	75.0
TP53I3	653.5	744.8	1449.2	984.5	898.6	1284.8	767.7	779.0	1001.5	761.4	558.3	1156.0	727.4	620.2	1362.7	763.9	696.9	1054.6
CEACAM1	49.0	80.3	50.0	50.0	50.0	51.8	96.2	50.0	50.0	100.0	81.2	50.0	50.0	138.3	50.0	174.6	111.3	50.0
DTNA	94.5	50.0	141.1	50.0	50.0	50.0	50.0	71.5	95.1	70.6	92.5	149.2	67.2	50.0	75.6	73.3	50.0	50.0
SYNJ2	49.0	168.7	50.0	50.0	68.8	108.4	50.0	55.4	50.0	49.0	117.8	50.0	50.0	50.0	50.0	50.0	50.0	170.6
SYNGR1	66.0	179.2	56.5	183.7	91.4	50.0	99.6	50.0	129.8	80.2	61.4	173.8	55.7	76.1	79.6	121.8	162.4	165.0
TTPA	49.0	50.0	113.6	88.4	50.0	50.0	54.5	50.0	97.1	49.0	78.8	58.1	50.0	50.0	50.0	61.6	50.0	51.0
NRP1	70.3	50.0	50.0	74.5	50.0	83.2	50.0	50.0	82.0	49.0	79.7	50.0	51.7	50.0	50.0	50.0	82.7	50.0
SEC31A	702.7	942.6	538.4	766.7	678.4	782.8	651.5	716.4	623.9	691.8	837.0	622.9	743.6	672.6	784.9	703.4	728.8	655.8
PHEX	49.0	50.0	50.0	50.0	80.9	145.1	144.3	50.0	76.5	78.7	50.0	88.0	50.0	71.2	82.9	50.0	50.0	128.5
RAP1GAP	49.0	50.0	50.0	92.1	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	86.9	50.0	50.0	50.0	50.0
HYAL1	49.0	50.0	71.0	50.0	54.4	98.2	113.8	119.3	50.0	84.0	181.3	50.0	50.0	50.0	94.9	50.0	93.4	50.0
GTF3C2	255.7	50.0	310.1	238.9	279.9	191.9	87.8	156.7	99.5	83.5	124.8	206.4	147.6	195.6	165.8	166.7	185.6	129.4
RASA1	230.5	181.0	404.0	191.1	195.7	321.6	336.7	226.6	296.9	273.9	185.5	194.8	303.5	208.9	185.7	404.4	333.3	223.4
CDK10	160.2	373.4	238.1	179.5	304.3	181.4	180.0	228.9	84.7	165.4	211.5	220.5	178.7	275.7	335.1	261.9	198.9	122.1
UBXN1	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	74.8	49.0	58.4	50.0	114.1	50.0	50.0	50.0	50.0	50.0
ILVBL	400.9	341.1	446.0	271.8	405.1	153.8	259.9	422.2	363.6	291.9	348.1	308.5	286.7	368.4	424.3	277.9	332.9	199.6
AKAP1	381.7	424.1	336.8	399.1	321.1	392.2	388.4	395.2	359.8	278.8	513.8	280.2	489.5	456.1	425.2	327.1	446.7	301.4
AKAP1	97.4	50.0	50.6	50.0	50.0	50.0	50.0	50.0	59.1	49.0	50.0	50.0	129.1	50.0	50.0	102.4	50.0	50.0
MOGS	167.3	435.1	233.1	242.8	365.9	292.2	211.6	254.8	146.0	212.0	200.7	325.0	359.9	197.4	221.0	171.6	357.6	224.1
LTBP4	105.4	58.3	50.0	50.0	76.3	138.4	75.7	200.4	63.5	115.5	50.0	62.1	142.9	139.6	140.4	127.1	53.5	81.2
LST1	89.6	50.0	80.2	101.1	50.0	50.0	50.0	50.0	50.0	49.0	151.2	50.0	50.0	50.0	50.0	50.0	106.2	50.0
RAD52	49.0	50.0	50.0	88.4	50.0	50.0	74.4	50.0	50.0	49.0	127.8	50.0	50.0	50.0	50.0	62.9	131.2	63.3
NF1P9	149.9	114.8	132.7	78.3	63.4	50.0	60.7	198.4	53.3	74.6	50.0	50.0	114.3	50.0	92.6	62.3	121.1	95.7
SGCA	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
KRT10	2333.0	1191.8	1872.9	1466.7	1501.5	2262.5	2138.3	1194.3	2473.9	2567.9	1305.0	2641.4	2404.4	1447.0	1290.6	2669.5	1470.8	1030.6
KLHL20	49.0	50.0	63.3	50.0	50.0	50.0	50.0	124.1	50.0	89.9	92.2	50.0	50.0	50.0	50.0	57.0	50.0	50.0
KLHL20	154.3	98.9	50.0	124.6	66.5	91.5	86.6	166.3	117.8	58.8	214.7	122.4	63.4	67.1	50.0	123.6	106.9	50.0
PPARD	83.4	50.0	81.5	50.0	105.4	50.0	50.0	50.0	50.0	59.2	116.5	50.0	50.0	50.0	50.0	50.0	50.0	92.1
TACR1	49.0	139.5	50.0	108.4	50.0	59.1	94.4	50.0	94.1	54.5	70.7	148.7	74.1	63.8	50.0	107.5	50.0	87.0
FBXO9	647.8	555.3	669.6	571.6	754.3	582.7	633.6	633.3	615.6	502.6	785.5	572.5	631.6	758.2	585.5	501.6	592.4	705.2
ATG5	197.9	146.7	50.0	166.7	225.9	240.5	172.2	325.3	90.9	189.5	114.8	151.2	116.1	168.5	250.3	91.1	127.3	226.4
GPER1	49.0	50.0	71.0	50.0	50.0	50.0	50.0	50.0	173.6	98.7	50.0	50.0	50.0	50.0	50.0	50.0	50.4	50.0
CAPN9	73.1	50.0	107.6	50.0	50.0	136.6	65.6	50.0	88.9	72.2	113.7	50.0	69.0	50.0	77.4	50.0	56.1	50.0
CCIN	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	93.3	103.8	50.0	147.0	50.0	50.0	50.0	50.0
TNFSF11	49.0	50.0	88.4	50.0	50.0	50.0	50.0	50.0	50.0	49.0	71.6	50.0	50.0	50.0	50.0	50.0	50.0	72.8
LAIR1	49.0	165.3	91.0	97.3	50.0	50.0	50.0	50.0	50.0	107.4	50.0	216.6	174.6	93.4	58.7	125.4	54.4	50.0
TTC3P1	650.9	480.0	336.0	601.8	472.0	433.9	582.8	404.6	524.4	481.8	458.7	172.4	523.1	268.3	507.5	598.6	488.8	572.5
RPL13AP5	32830.7	43391.3	30711.0	37389.4	36937.5	34190.7	29657.4	43100.3	30568.3	23609.2	43026.5	32257.1	25394.9	37418.7	33668.2	24544.9	37677.8	36884.8
PLA2G6	197.3	247.6	197.5	268.0	244.4	177.9	139.0	173.7	254.4	228.1	313.8	280.2	197.9	252.1	184.9	205.7	121.1	101.2
SNX3	2472.7	2202.8	2177.2	2131.5	2414.4	2016.9	2435.7	2027.5	1933.4	2655.9	2645.4	1983.7	2670.7	2206.5	1735.2	2668.7	2588.3	2080.3
ARID1A	284.7	334.2	311.9	144.1	232.4	52.8	226.6	251.5	252.1	237.2	205.6	176.1	182.8	199.8	287.4	262.9	123.6	386.2
PCLO	68.8	50.0	50.0	104.5	50.0	50.0	50.0	50.0	50.0	88.4	107.4	50.0	50.0	50.0	69.9	50.0	50.0	50.0
EPHB2	211.5	50.0	151.6	93.8	103.8	50.0	166.9	50.0	50.0	133.5	150.2	192.2	195.9	97.4	129.8	62.4	138.4	50.8
TTC39A	103.7	50.0	222.1	50.0	50.0	50.0	101.1	50.0	50.0	85.3	53.0	50.0	59.2	50.0	93.0	139.4	50.0	108.8
BCKDHB	211.6	72.0	149.8	135.9	139.1	160.5	113.1	110.4	76.5	49.0	112.7	50.0	103.9	188.3	50.0	109.2	92.0	126.0
TNFRSF10D	94.4	73.8	93.2	80.7	142.9	50.0	62.4	50.0	84.5	97.5	50.0	55.2	65.8	50.0	50.0	50.0	90.9	50.0
FOXO3B	124.7	169.8	50.0	50.7	50.0	70.1	71.5	141.4	50.0	104.8	194.1	50.0	132.5	81.4	60.6	50.0	50.0	50.0
EED	49.0	52.7	50.0	50.0	50.4	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
SEPT4	49.0	50.0	60.6	50.0	50.0	63.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	59.4	50.0	50.0	113.6	50.0
GGA2	100.5	61.5	81.2	222.7	73.7	111.9	163.4	191.3	128.5	170.4	244.1	399.7	123.7	50.0	173.2	144.1	128.0	104.8
CMKLR1	49.0	191.8	84.8	90.6	50.0	87.7	50.0	50.0	50.0	110.6	82.2	77.7	97.7	50.0	104.0	94.7	50.0	79.5
LILRA1	49.0	50.0	50.0	50.0	55.6	50.0	50.0	146.5	50.0	49.0	50.0	50.0	50.0	50.0	100.1	50.0	50.0	50.0
GLRA3	49.0	50.0	50.0	50.0	76.9	121.3	52.7	50.0	73.3	49.0	142.7	82.5	50.0	67.8	132.8	50.0	66.9	50.0
KYNU	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	85.5	53.3	50.0	76.2	50.0	93.4	50.0	50.0	79.9	53.2
KYNU	2314.4	1755.4	2113.1	1672.4	2361.7	2254.6	2594.9	2129.0	1965.1	2338.3	1615.0	2136.5	2580.8	1995.5	1788.3	2493.3	1907.4	1931.4
TFPI	935.2	736.3	583.9	575.8	640.8	747.9	697.7	489.3	733.7	814.2	536.0	571.6	601.3	713.8	404.3	695.2	820.6	464.9
TFPI	75.6	50.0	57.4	181.6	129.9	103.9	58.8	146.2	111.5	151.3	50.0	119.4	51.1	59.0	153.1	111.0	50.0	84.7
IDS	49.0	110.3	50.0	113.7	50.0	50.0	50.0	54.2	50.0	49.0	50.0	50.0	50.0	115.7	50.0	50.0	50.0	50.0
C21orf33	302.8	309.7	237.4	316.9	342.4	264.2	232.4	196.6	316.5	173.7	248.8	280.3	244.2	392.0	228.3	328.3	358.2	286.7
TFAP2A	49.0	50.0	50.0	50.0	92.4	50.0	50.0	162.3	50.0	61.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	112.4
PPY	49.0	50.0	50.0	62.4	50.0	60.0	50.7	50.0	50.0	49.0	147.4	120.4	50.0	50.0	50.0	50.0	50.0	50.0
MAPK8	49.0	50.0	50.0	63.4	140.3	77.3	118.7	50.0	126.1	89.4	213.5	259.0	61.4	99.6	50.0	97.6	50.0	50.0
NPRL3	153.3	50.0	74.3	91.7	63.9	95.6	180.7	50.0	170.3	194.4	106.5	208.4	130.1	135.8	120.5	252.7	202.7	142.5
NKX2-1	49.0	50.0	50.0	50.0	50.0	78.7	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	150.3	50.0	50.0	50.0
PCDHA1	170.0	177.0	111.0	205.2	174.7	50.0	188.9	136.6	233.4	93.7	184.1	178.9	168.9	94.4	137.5	126.3	50.0	129.6
PTPRR	49.0	151.4	50.0	50.0	50.0	234.4	50.0	50.0	52.8	49.0	50.0	69.1	50.0	69.3	112.5	50.0	115.3	50.0
RGPD6	214.2	286.4	305.3	289.0	221.8	265.5	313.8	426.0	361.9	356.5	195.3	291.3	298.9	257.4	222.7	255.7	190.6	320.4
SOAT2	53.3	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	79.1	65.2	63.7	50.0	50.0	50.0	126.5	50.0	50.0
AGPAT2	160.9	148.5	77.4	139.9	94.4	111.2	77.9	368.8	60.6	150.7	88.2	247.0	98.0	116.9	247.8	148.1	179.5	152.8
210679_x_at	227.5	50.0	114.1	273.6	160.4	323.7	156.3	215.2	127.3	146.0	180.6	203.2	175.4	204.9	176.5	224.9	163.9	199.4
MASP1	73.1	50.0	50.0	54.4	51.4	50.0	50.0	50.0	225.6	90.4	87.3	79.1	139.1	50.0	50.0	62.0	76.0	87.5
MIR6125	208.9	272.7	128.5	131.8	117.6	151.2	123.2	222.0	160.2	228.9	64.7	129.6	193.3	229.5	316.3	173.6	167.6	218.9
LPO	49.0	50.0	50.0	50.0	50.0	50.0	50.0	75.0	50.0	49.0	50.0	98.0	84.9	50.0	50.0	50.0	99.3	50.0
NRTN	49.0	77.2	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	74.7	50.0
DLG4	49.0	58.8	50.0	50.0	50.0	71.6	50.0	50.0	50.0	49.0	50.0	86.6	50.0	50.0	63.2	50.0	93.8	50.0
UBE4B	110.5	250.7	76.8	136.2	103.7	50.0	116.2	126.4	92.5	49.0	132.5	97.8	80.9	51.9	50.0	105.3	50.0	117.6
SLC25A16	484.1	628.9	920.0	620.3	452.4	759.4	299.4	499.2	483.7	1319.7	719.2	511.9	1098.9	321.4	379.8	466.4	464.0	658.0
CPT1A	49.0	62.4	93.6	84.5	50.0	77.0	107.3	167.9	50.0	54.8	50.0	144.7	50.0	79.2	50.0	57.0	153.3	50.0
CPT1A	92.7	50.0	122.9	87.5	124.1	50.0	50.0	154.6	121.0	97.5	245.6	127.2	51.7	113.8	50.0	104.0	283.8	68.8
CLDN14	49.0	50.0	50.0	105.2	50.0	50.0	61.5	86.5	68.7	49.0	50.0	161.1	50.0	50.0	155.6	50.0	50.0	50.0
KLRC4	55.5	95.8	50.0	95.2	57.8	64.2	50.0	116.7	121.9	49.0	50.0	74.2	50.0	50.0	50.0	50.0	76.1	50.0
CACYBP	228.1	218.9	249.3	241.4	161.6	127.7	196.3	340.3	170.1	208.9	374.5	184.5	222.8	148.7	108.0	273.8	233.9	212.4
SLC43A3	81.7	50.0	59.7	50.0	50.0	50.0	56.9	179.8	60.2	114.3	97.6	203.9	50.0	50.0	50.0	50.0	50.0	84.7
SPPL2B	110.8	50.0	50.0	50.0	50.0	50.0	50.0	54.9	50.0	56.8	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
MID1	189.3	252.8	121.3	236.4	74.4	72.3	153.6	101.7	83.3	110.7	210.3	176.1	74.2	50.0	193.2	120.9	126.6	135.5
WWOX	166.2	265.3	273.6	228.9	231.4	307.1	160.6	252.8	173.1	347.5	292.3	271.7	435.2	309.3	471.3	360.8	411.0	293.0
ZNF257	49.0	50.0	50.0	50.0	50.0	50.0	63.4	50.0	50.0	49.0	139.8	50.0	50.0	65.8	50.0	50.0	50.0	50.0
AF090895	49.0	130.3	50.0	56.9	50.0	134.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
210699_at	65.5	51.8	50.0	50.0	50.0	50.0	54.8	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
CFDP1	92.7	173.6	52.3	50.0	50.0	92.6	50.0	144.0	50.0	49.0	50.0	50.0	56.6	50.0	79.4	69.9	50.0	60.7
PTGIS	49.0	174.5	179.3	50.0	50.0	76.8	50.0	98.2	89.5	113.6	104.6	50.0	50.0	139.2	60.6	108.9	74.5	75.9
AF132204	49.0	50.0	50.0	100.5	50.0	50.0	82.9	52.7	50.0	49.0	110.1	53.8	50.0	68.9	107.7	96.3	52.5	50.0
FEZ2	85.8	50.0	50.0	50.0	121.3	119.4	50.0	50.0	50.0	62.6	94.8	50.0	50.0	150.9	50.0	50.0	158.7	155.6
TRIM5	135.3	176.7	161.3	121.1	67.5	50.0	135.6	50.0	97.1	56.2	212.4	50.0	151.0	115.6	117.6	101.3	151.4	50.0
RNF24	166.3	131.4	95.7	233.6	165.8	207.5	190.2	261.2	169.1	258.4	164.2	194.0	177.4	225.9	208.8	146.6	188.8	370.9
DTX2P1-UPK3BP1-PMS2P11	771.8	568.5	780.6	546.5	534.8	639.3	565.1	543.8	475.2	924.3	639.7	493.7	575.5	491.6	562.7	790.5	958.7	600.1
CASP10	179.9	50.0	108.6	50.0	50.0	223.4	107.6	50.0	50.0	49.0	50.0	112.2	81.4	118.8	50.0	130.6	96.5	75.3
ZC3H15	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	210.4	50.0	50.0	50.0	50.0	50.0	183.4
AGGF1	49.0	50.0	50.0	50.0	50.0	151.2	67.0	50.0	50.0	49.0	99.0	66.5	50.0	108.0	50.0	62.2	61.1	119.9
LINC00260	49.0	50.0	50.0	131.8	50.0	126.5	50.0	50.0	50.0	49.0	50.0	50.0	50.0	173.6	50.0	50.0	50.0	50.0
LDHAL6B	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	52.9	50.0	50.0	50.0	65.8
ITSN1	49.0	120.9	54.5	86.6	50.0	84.7	59.4	98.7	50.0	49.0	255.0	120.2	50.0	63.7	50.0	153.3	92.4	65.5
R3HDM1	90.1	108.6	133.6	117.0	61.5	69.8	69.5	148.0	50.0	183.1	50.0	50.0	77.9	50.0	50.0	56.7	50.0	50.0
SPINT2	3082.1	3532.6	2520.8	3156.5	3745.3	2254.2	3204.1	2924.8	2610.6	3238.7	3435.8	2725.8	3306.0	4025.0	2850.7	3016.4	2948.1	2471.8
CLIP1	311.5	285.1	215.7	291.1	244.4	244.4	302.8	338.5	389.3	330.9	309.8	180.8	232.2	173.8	208.5	141.3	256.8	147.2
AF116659	49.0	50.0	50.0	50.0	50.0	50.0	50.0	72.7	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
ARL17B	154.9	104.3	192.7	72.8	81.4	50.0	194.3	50.0	111.6	114.5	114.0	162.6	137.0	140.8	188.9	94.6	121.8	81.4
HMG20B	282.3	213.3	225.2	90.3	208.2	51.7	133.3	268.8	149.8	233.6	195.3	122.7	232.1	209.2	293.5	207.1	76.0	248.5
NECAB3	168.0	189.1	196.8	344.5	171.7	56.6	240.5	125.1	233.0	201.7	317.2	264.1	167.2	224.3	199.4	155.9	196.9	128.0
PAK5	49.0	50.0	50.0	50.0	50.0	50.0	78.9	50.0	50.0	63.1	50.0	88.8	50.0	50.0	104.6	68.2	151.0	91.5
PNLIPRP1	49.0	70.9	50.0	50.0	79.9	50.0	80.7	56.5	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
BC004917	49.0	50.0	91.4	116.8	96.1	122.6	56.1	239.3	123.3	49.0	210.5	50.0	75.7	81.9	70.4	55.3	50.0	50.0
ADGRE3	49.0	50.0	82.9	114.0	50.0	129.3	50.0	50.0	50.0	66.9	50.0	131.3	50.0	50.0	50.0	50.0	50.0	94.5
CYP3A4	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	52.8	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
CALCA	57.8	56.7	50.0	50.0	50.0	50.0	50.0	61.3	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
CALCA	49.0	173.6	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	69.2	50.0	50.0	50.0	50.0	50.0
NPY2R	49.0	105.2	50.0	50.0	50.0	50.0	50.0	50.0	99.5	49.0	81.4	50.0	50.0	50.0	50.0	50.0	64.2	50.0
NPY2R	63.2	153.0	50.0	167.5	50.0	72.0	73.4	50.0	131.9	63.8	212.4	338.6	53.9	50.0	207.3	131.3	50.0	50.0
LGALS8	88.7	164.8	116.3	260.1	284.2	75.0	112.4	171.7	129.0	196.1	50.0	111.0	217.1	156.6	148.2	151.1	86.7	196.5
LGALS8	126.9	140.6	158.0	273.3	98.5	186.5	238.5	317.9	191.0	175.8	189.6	275.3	137.2	50.0	147.7	220.2	160.6	90.0
TRAM1	152.6	187.9	129.0	306.7	292.4	112.8	252.3	201.2	129.7	238.6	290.6	159.7	195.3	202.9	144.6	179.1	138.4	78.9
MAX	233.5	230.1	144.3	215.3	213.8	257.4	257.9	188.7	134.3	187.7	237.7	79.0	165.8	318.7	488.3	185.5	81.8	86.1
CA12	5671.4	4359.0	4668.3	4639.2	5118.4	4073.6	5320.6	4718.3	4150.2	4836.1	5194.4	3927.4	4522.7	4699.8	4220.5	4993.5	4523.8	4128.7
DTNA	49.0	63.0	50.0	50.0	95.1	91.2	50.0	186.2	50.0	111.6	50.0	164.9	78.2	50.0	76.2	67.6	50.0	173.4
TUB	49.0	149.1	50.0	98.8	60.4	50.0	117.4	50.0	170.1	49.0	50.0	116.3	50.0	50.0	50.0	122.4	50.0	50.0
SLC4A4	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	100.5	50.0	55.3	50.0	50.0	50.0	50.0
SLC4A4	118.9	121.6	194.1	164.4	143.9	237.1	82.9	50.0	115.8	190.5	231.6	162.1	177.3	161.1	281.6	169.9	205.2	140.5
ITPK1	470.8	338.9	679.7	549.9	207.3	451.1	290.3	576.1	572.7	513.6	456.1	741.6	556.1	383.0	643.9	456.2	255.1	531.7
ARHGEF12	49.0	98.5	54.9	99.4	50.0	50.0	50.0	50.0	50.0	49.0	116.9	50.0	50.0	50.0	50.0	50.0	50.0	50.0
CDC14A	49.0	113.9	50.0	50.0	50.0	100.5	50.0	50.0	85.7	49.0	50.0	55.7	55.8	124.9	52.1	79.5	64.9	50.0
CDC14A	49.0	50.0	50.0	89.7	50.0	50.0	51.0	50.0	50.0	49.0	50.0	50.0	77.9	55.7	50.0	50.0	50.0	85.6
IL5RA	49.0	115.1	154.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.4	50.0	50.0	50.0	50.0
ONECUT1	60.9	50.0	64.0	50.0	50.0	92.3	50.0	50.0	80.5	111.9	50.0	50.0	50.0	105.2	50.0	50.0	50.0	50.0
EPB42	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
HLA-DQB1	49.0	50.0	50.0	102.2	141.0	50.0	50.0	50.0	50.0	49.0	50.0	50.0	68.9	50.0	50.0	50.0	50.0	69.9
AF116696	106.3	116.6	50.0	50.0	62.4	50.0	50.0	74.8	73.0	49.0	50.0	50.0	50.0	50.0	75.0	50.0	50.0	52.2
MIR4640	598.3	378.1	668.9	669.5	563.5	887.4	592.0	621.1	472.0	608.9	639.7	802.4	665.8	919.2	788.0	681.1	693.8	740.7
DLGAP1	49.0	50.0	69.7	98.3	50.0	50.0	50.0	50.0	52.7	106.1	330.2	89.4	50.0	50.0	50.0	66.9	50.0	91.7
RGN	54.7	158.6	119.8	113.9	50.0	50.0	50.0	121.3	72.7	49.0	108.6	112.4	50.0	50.0	50.0	50.0	83.7	50.0
MLX	161.8	166.2	94.5	135.4	79.6	114.8	87.2	142.4	165.5	57.6	82.7	212.6	56.6	86.0	59.1	50.0	65.7	50.0
EPHB1	106.5	198.7	50.0	50.0	50.0	50.0	84.7	155.7	50.0	49.0	50.0	50.0	80.1	50.0	50.0	85.1	50.0	50.0
LYN	200.7	290.2	218.3	258.1	279.7	294.9	276.3	410.5	241.2	202.4	270.1	286.7	222.0	166.5	209.1	299.2	265.5	234.0
HGF	71.9	106.8	104.5	77.9	50.0	62.4	57.5	108.9	111.5	63.8	125.5	180.9	50.0	109.9	84.1	79.2	72.6	122.2
NOTCH2	135.8	409.3	50.0	209.6	421.2	349.9	421.6	414.6	434.4	322.4	254.4	140.3	293.6	343.3	80.0	158.9	220.1	50.0
LOC101926921	124.9	219.6	149.6	158.4	373.8	208.7	120.7	85.7	141.1	264.8	273.5	192.4	165.2	214.1	218.4	155.9	156.3	224.1
PSIP1	49.0	50.0	50.0	146.1	189.4	217.9	78.5	50.0	190.0	227.5	50.0	117.1	128.9	100.3	138.4	108.9	50.0	50.0
PSMA1	2348.0	2235.6	2366.7	2523.0	2229.4	2179.2	2448.4	2470.3	2117.3	2250.4	2462.5	2176.2	2556.4	3104.6	2400.4	2046.9	2464.0	2386.7
TRIP11	89.0	142.0	96.7	50.0	82.7	64.8	50.0	147.3	108.6	50.1	143.2	50.0	116.5	50.0	68.6	176.8	50.0	198.5
GRB7	153.6	88.1	130.1	50.0	230.1	127.7	93.2	359.1	169.1	202.2	228.4	121.4	251.2	323.6	305.3	221.5	277.1	82.6
DLC1	49.0	50.0	165.0	182.1	113.2	97.2	97.8	191.3	189.1	147.8	128.5	188.8	141.9	107.6	264.8	161.8	122.1	147.8
NCR3	49.0	125.6	50.0	52.9	50.0	50.0	50.0	62.1	50.0	49.0	241.2	50.0	61.0	138.2	99.0	50.0	50.0	50.0
CYR61	163.7	50.0	211.7	249.1	153.9	116.8	162.6	110.9	56.5	158.7	154.5	206.1	175.9	242.5	177.9	109.3	81.3	143.3
CSE1L	49.0	50.0	50.0	50.0	78.5	96.9	50.0	50.0	50.0	49.0	161.0	50.0	50.0	195.5	95.8	50.0	50.0	70.8
CSE1L	376.9	380.8	488.8	361.4	412.6	391.3	446.8	314.9	612.3	356.8	343.4	604.3	447.8	705.3	490.6	463.5	288.1	714.2
NF2	55.8	114.8	54.4	50.0	64.3	54.6	50.0	87.7	50.0	49.0	50.0	69.9	50.0	89.1	50.0	50.0	58.9	50.0
TMCO1	211.2	527.7	411.8	426.4	336.3	201.8	284.2	437.4	321.9	361.5	395.0	327.6	193.6	285.8	510.1	206.6	445.3	375.8
CNGB1	49.0	203.0	50.0	57.9	50.0	50.0	50.0	129.7	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	68.6	77.5
LOC100507353	49.0	50.0	50.0	162.9	64.6	50.0	50.0	154.4	50.0	49.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
PPARA	61.5	50.0	56.7	50.0	50.0	50.0	50.0	50.0	68.9	49.0	50.0	50.0	56.2	53.5	50.0	115.6	50.0	109.1
FPR2	49.0	81.9	53.7	50.0	58.6	54.3	50.0	50.0	70.5	62.7	128.0	83.0	50.0	69.2	68.5	50.0	145.1	50.0
FPR2	49.0	50.0	50.0	50.0	116.8	116.1	50.0	50.0	109.9	49.0	50.0	51.6	50.0	50.0	66.5	50.0	50.0	114.0
NCOA4	1185.6	1148.5	1233.0	1630.2	1196.4	1234.0	1462.0	1258.7	1403.5	1096.9	1040.9	1196.3	1352.3	1466.7	1134.4	998.6	1167.6	1310.3
CASP9	94.1	270.5	131.3	158.4	247.1	216.7	223.4	220.5	185.3	252.7	211.1	206.1	178.3	145.0	277.0	188.2	274.3	71.9
TCF3	130.9	209.5	50.0	129.7	196.6	50.0	121.4	50.0	84.3	55.0	123.1	230.8	50.0	260.4	243.2	194.2	109.3	134.4
MIR4800	124.5	50.0	136.7	166.6	91.1	155.8	167.5	254.6	79.4	86.6	89.2	81.4	107.3	50.0	73.9	71.3	173.5	64.2
GEMIN2	147.8	133.4	199.9	219.2	161.0	250.2	229.7	226.1	182.5	175.1	179.1	117.6	227.9	182.8	160.7	154.5	248.1	271.4
ESR2	49.0	50.0	87.2	50.0	90.8	50.0	64.1	50.0	53.1	49.0	50.0	127.6	50.0	50.0	86.9	66.6	132.2	50.0
