ID_REF	Mann1_4hr	Mann2_4hr	Mann3_4hr	Mann1_12hr	Mann2_12hr	Mann3_12hr	Mann1_24hr	Mann2_24hr	Mann3_24hr	MGd1_4hr	MGd2_4hr	MGd3_4hr	MGd1_12hr	MGd2_12hr	MGd3_12hr	MGd1_24hr	MGd2_24hr	MGd3_24hr
218539_at	160.8	262.4	318.0	273.5	396.0	304.8	330.7	274.2	350.3	266.8	256.9	219.5	512.6	242.3	368.9	354.3	307.6	189.1
221518_s_at	493.3	320.5	417.1	383.1	497.7	311.7	393.5	334.4	381.4	412.1	158.3	227.0	333.3	322.4	334.8	510.6	381.4	254.8
218519_at	249.4	179.9	217.3	170.8	285.2	246.0	380.9	259.2	247.3	296.4	134.8	196.4	259.0	290.4	152.1	190.7	165.9	328.8
219959_at	305.0	265.3	203.2	95.2	224.7	231.3	180.0	248.7	337.7	175.1	272.5	264.5	190.0	170.2	210.1	210.2	234.2	169.0
218244_at	214.9	244.2	171.1	279.5	130.7	278.3	310.1	170.7	94.9	190.5	173.0	290.6	376.8	173.8	281.3	223.3	259.3	103.4
217895_at	446.4	371.2	334.6	577.2	412.0	449.7	418.3	414.8	571.6	454.7	269.0	501.9	354.8	474.8	431.6	353.2	493.9	502.5
218399_s_at	226.9	180.1	239.4	316.4	189.9	112.4	147.0	287.6	277.6	168.5	296.8	50.0	199.6	245.6	216.3	284.3	192.9	348.8
219299_at	216.5	123.8	151.5	146.6	167.1	109.6	176.8	102.8	229.7	232.0	52.8	209.9	149.6	243.2	170.9	176.7	219.8	161.4
202166_s_at	240.6	50.0	254.5	107.5	79.3	191.7	172.5	235.5	224.5	182.1	200.0	108.2	194.7	50.0	158.2	261.4	149.9	264.0
201410_at	503.3	284.6	368.3	489.5	592.0	363.6	473.0	400.6	535.2	602.8	348.3	395.5	472.8	474.6	551.5	518.4	490.2	455.1
219053_s_at	220.3	231.9	251.9	363.0	357.5	170.1	234.5	314.9	323.5	264.4	225.2	207.9	295.3	280.9	188.5	280.2	261.7	336.2
220526_s_at	443.2	372.7	545.4	881.5	447.1	422.9	553.5	602.8	843.0	560.2	490.0	528.5	622.4	221.4	612.7	608.0	656.4	486.8
203827_at	93.6	284.6	152.3	131.5	197.6	114.2	209.4	50.0	161.5	163.5	99.9	152.0	204.0	245.4	172.4	135.0	232.9	85.8
218008_at	693.5	603.5	339.7	612.5	460.1	511.7	589.7	437.7	470.4	351.2	584.8	633.4	510.9	436.5	511.4	553.3	498.5	552.1
204284_at	188.8	137.9	216.6	296.7	405.2	349.3	420.6	136.1	271.3	389.7	340.8	387.7	278.7	559.6	380.4	438.3	449.5	344.9
219641_at	181.6	317.6	298.6	257.2	254.5	183.8	305.0	266.3	307.9	267.9	103.3	372.3	256.0	259.9	316.4	202.9	371.1	188.7
219410_at	49.0	275.2	77.7	118.8	50.0	50.0	88.2	119.0	125.6	138.3	154.4	147.0	92.4	50.0	61.3	59.6	181.2	50.0
218067_s_at	588.5	333.1	246.2	506.1	403.2	437.3	755.2	532.8	386.0	364.8	512.8	826.4	583.1	423.9	276.7	528.2	437.0	465.2
218372_at	72.9	249.4	91.6	120.5	157.7	243.5	165.9	110.9	50.0	120.3	142.7	97.1	168.7	220.0	60.9	71.7	188.4	203.3
218815_s_at	138.9	162.8	242.9	256.6	226.3	229.4	156.1	201.2	211.1	266.8	208.1	341.8	310.0	227.6	301.9	118.4	197.6	230.4
213465_s_at	224.5	275.2	403.9	197.3	387.3	286.1	413.5	349.2	332.5	179.1	110.6	336.8	301.7	344.7	372.1	317.8	147.5	283.3
219193_at	111.6	242.2	250.4	50.0	277.2	284.7	196.8	118.5	219.3	158.7	115.0	452.2	165.2	285.5	273.8	116.6	160.8	158.4
218038_at	512.8	263.5	747.5	500.1	369.5	470.0	496.0	257.4	653.9	519.2	387.7	639.7	575.1	490.1	740.9	384.6	437.0	626.8
218004_at	360.4	352.1	176.2	407.5	527.3	337.6	309.5	291.0	257.1	257.3	496.6	513.6	249.6	177.9	331.8	305.5	494.2	209.9
207830_s_at	107.9	156.1	347.7	278.0	282.5	387.9	354.9	102.0	265.8	225.1	313.8	195.8	314.1	198.3	283.5	253.1	257.3	325.2
218290_at	79.4	355.9	327.1	169.9	394.9	212.7	239.0	163.8	212.0	227.0	340.9	157.5	341.6	314.1	405.8	189.0	54.8	82.0
218753_at	336.9	301.7	153.8	304.3	153.2	371.4	289.2	322.7	350.6	386.1	531.9	371.1	481.2	440.9	491.6	595.8	492.5	390.1
218076_s_at	309.6	462.9	223.1	322.9	361.5	224.8	193.9	195.6	354.6	201.2	195.1	263.1	286.7	404.9	466.9	310.5	380.0	418.8
218397_at	317.2	100.7	220.3	418.3	415.4	199.6	282.3	238.1	193.3	452.2	171.5	323.1	325.5	174.5	256.7	249.8	194.0	214.5
218827_s_at	49.0	159.5	59.6	143.2	82.7	50.0	112.9	50.0	50.0	143.8	69.7	201.8	153.6	50.0	50.0	80.1	94.1	184.8
218595_s_at	688.8	362.0	379.1	478.2	568.5	737.4	661.2	360.4	512.5	590.3	516.8	462.4	652.7	245.9	395.0	620.1	524.4	591.4
218910_at	63.9	85.9	50.0	235.9	104.7	50.0	183.6	50.0	194.6	227.9	187.0	119.1	157.1	230.8	50.0	151.4	54.8	106.6
218593_at	158.7	180.5	337.3	309.8	130.6	228.6	223.6	111.9	193.5	248.8	251.2	108.8	158.2	240.1	230.0	309.7	142.9	277.8
219055_at	169.2	50.0	165.8	146.1	163.0	216.1	175.3	50.0	50.0	179.1	93.1	50.0	144.5	104.3	50.0	259.5	131.6	228.7
44563_at	290.8	357.7	476.9	348.1	296.6	397.7	347.7	571.7	310.2	394.3	294.4	422.8	354.4	441.2	508.3	387.5	324.2	537.9
218274_s_at	131.6	252.5	242.9	220.9	133.5	327.0	109.7	240.6	142.7	200.5	216.4	276.4	175.7	254.3	220.9	237.0	189.9	339.9
201703_s_at	268.7	176.3	316.1	349.0	195.2	303.0	264.0	50.0	285.7	156.4	113.8	208.4	214.7	288.7	224.4	236.5	256.2	202.1
220071_x_at	433.2	563.8	252.9	462.5	406.0	231.9	160.1	297.1	222.1	460.5	239.7	358.9	384.6	432.5	65.2	428.1	386.4	258.4
218684_at	571.4	700.6	587.6	466.6	617.8	903.8	625.8	781.0	797.8	700.1	334.9	689.5	537.9	480.4	731.0	651.6	724.1	567.7
220261_s_at	411.3	529.7	621.7	447.0	498.6	613.5	458.9	499.5	453.3	376.4	415.0	448.8	565.5	358.6	634.5	554.2	395.8	377.6
219816_s_at	714.3	486.5	692.6	394.4	636.1	848.5	463.9	771.4	544.4	688.1	694.1	669.6	659.4	756.2	984.3	633.9	460.0	603.5
218947_s_at	189.8	279.0	138.4	306.8	322.4	216.6	252.3	276.2	305.7	282.0	319.6	141.5	252.5	323.0	313.8	277.4	228.4	168.4
208652_at	1129.5	1062.2	1140.4	993.2	1036.2	1111.1	1207.0	654.6	1262.0	1165.9	994.9	941.1	1199.7	1088.4	1165.4	1236.0	979.1	1146.7
220151_at	49.0	156.3	50.0	50.0	88.3	215.5	112.2	147.5	179.9	99.0	206.0	50.0	50.0	50.0	98.2	55.7	58.3	82.5
218772_x_at	173.2	95.1	83.0	158.4	107.1	238.4	145.3	293.8	160.5	230.4	50.0	122.7	139.5	77.1	50.0	131.3	181.8	50.0
221934_s_at	243.6	342.2	413.2	364.2	381.8	419.9	415.6	294.5	471.8	510.3	343.8	352.3	344.5	504.8	571.4	324.2	299.3	558.9
218607_s_at	217.9	283.3	273.1	436.8	331.1	410.5	285.7	262.5	390.7	235.5	297.6	395.7	214.0	359.2	211.6	261.3	224.2	286.9
